,,,Auto,Auto,Teleop,Teleop,Teleop,Teleop,,
Team Number,Match,Position,SHOOTING,L1,SHOOTING,L1,L2,L3,Score,Notes
"9,450",40,R1,0,0,110.0438807,0,0,0,110.0438807,
233,41,R3,27.06477769,0,109.8541367,0,0,0,136.9189144,
973,41,B2,37.51193184,0,159.5509905,0,0,0,197.0629223,
"9,128",41,R2,15.55964517,0,271.39689,0,0,0,286.9565352,
"9,067",41,B1,9.174779951,0,11.98956095,0,0,0,21.1643409,
"9,029",41,B3,37.31328821,0,188.4594485,0,0,0,225.7727367,bot shuttles from other side
"5,549",41,R1,11.37557713,0,111.7489733,0,0,0,123.1245504,
"2,713",42,R3,0,0,154.4566988,0,0,0,154.4566988,Auto stuck over bump
"10,935",42,B2,0,0,0,0,0,0,2,
"4,099",42,R2,20.0427341,0,29.25426633,0,0,0,49.29700043,
"1,807",42,B1,9.53537808,0,72.85128046,0,0,0,82.38665854,
687,42,B3,46.46462192,0,196.1487195,0,0,0,242.6133415,
"9,245",42,R1,11.9572659,0,117.2890349,0,0,0,129.2463008,
868,43,R3,0,0,143.1417041,0,0,0,143.1417041,
341,43,B2,44.30428621,0,80.18303211,0,0,0,124.4873183,
"4,206",43,R2,30,0,58.62202348,0,0,0,88.62202348,
"1,540",43,B1,13.73248263,0,86.62612271,0,0,0,100.3586053,
"10,291",43,B3,32.96323117,0,151.1908452,0,0,0,184.1540763,
424,43,R1,0,0,179.2362724,0,0,0,179.2362724,
195,44,R3,79.04743744,0,33.26021365,0,0,0,112.3076511,Played defense
604,44,B2,61.94765871,0,212.5590206,0,0,0,274.5066793,
"6,647",44,R2,17.55069196,0,120.507122,0,0,0,138.0578139,
"2,046",44,B1,0,0,0,0,0,0,2,
"2,996",44,B3,27.05234129,0,235.4409794,0,0,0,262.4933207,
"8,373",44,R1,13.4018706,0,101.2326644,0,0,0,114.634535,
195,45,R3,75.8575143,0,78.5551348,0,0,0,154.4126491,Defense near end
818,45,B2,14.8880557,0,31.25809149,0,0,0,46.14614719,
"9,408",45,R2,7.274255434,0,163.5601773,0,0,0,170.8344328,
"5,951",45,B1,11.43563158,0,98.98079824,0,0,0,110.4164298,
"2,052",45,B3,48.67631272,0,169.7611103,0,0,0,218.437423,
"11,463",45,R1,11.86823027,0,44.88468787,0,0,0,56.75291814,
"5,216",46,R3,0,0,190.2132186,0,0,0,190.2132186,
"1,833",46,B2,94.05660436,0,163.5269454,0,0,0,257.5835497,
"1,108",46,R2,33.05543007,0,118.4843652,0,0,0,151.5397953,
"6,352",46,B1,0,0,137.2010266,0,0,0,137.2010266,
"3,354",46,B3,19.94339564,0,181.272028,0,0,0,201.2154237,
"1,577",46,R1,55.94456993,0,175.3024162,0,0,0,231.2469861,
"10,979",47,R3,3.623092387,0,0,0,0,0,3.623092387,Defense
88,47,B2,14.16574865,0,1.205869831,0,0,0,15.37161849,
148,47,R2,31.58099386,0,132.5961568,0,0,0,164.1771506,
695,47,B1,41.64748197,0,5.391651376,0,0,0,47.03913335,
"3,256",47,B3,38.18676937,0,423.4024788,0,0,0,461.5892482,
"4,561",47,R1,49.79591375,0,146.4038432,0,0,0,196.199757,
"5,736",48,R3,69.87666726,0,181.2212513,0,0,0,251.0979185,
"4,400",48,B2,37.92522726,0,153.1898833,0,0,0,191.1151106,
"2,586",48,R2,4.373184276,0,39.12877706,0,0,0,43.50196133,
"7,160",48,B1,9.543715943,0,48.27413952,0,0,0,57.81785546,
"3,276",48,B3,53.5310568,0,211.5359772,0,0,0,265.067034,
"6,436",48,R1,27.75014847,0,103.6499717,0,0,0,131.4001201,
"2,067",49,R3,0,0,218.1260215,0,0,0,218.1260215,
"2,370",49,B2,0,0,103.6583033,0,0,0,103.6583033,
"10,903",49,R2,65,0,39.40628916,0,0,0,104.4062892,died at the end
"4,253",49,B1,35.77055052,0,63.67356301,0,0,0,99.44411353,
"8,046",49,B3,46.22944948,0,199.6681337,0,0,0,245.8975832,
"4,590",49,R1,0,0,173.4676894,0,0,0,173.4676894,
"2,194",50,R3,36.55558597,0,133.8897755,0,0,0,170.4453615,
"5,414",50,B2,20.742014,0,88.68420361,0,0,0,109.4262176,
346,50,R2,28.39946428,0,188.3284134,0,0,0,216.7278777,
"1,922",50,B1,62.62683327,0,176.9046289,0,0,0,239.5314622,
"3,044",50,B3,16.63115273,0,90.41116748,0,0,0,107.0423202,
"1,108",50,R1,4.044949752,0,47.78181113,0,0,0,51.82676088,
"10,553",51,R3,0,0,9.973963221,0,0,0,9.973963221,
341,51,R2,33.94442797,0,112.972479,0,0,0,146.916907,
233,51,B1,7.463666942,0,64.06885317,0,0,0,71.53252011,
930,51,B3,35.53633306,0,285.9311468,0,0,0,321.4674799,
"2,783",51,R1,51.05557203,0,159.0535578,0,0,0,210.1091298,
"2,713",52,B2,11.85500323,0,26.27133704,0,0,0,38.12634027,broken shooter?
599,52,B3,69.50915968,0,152.7459249,0,0,0,222.2550846,
180,52,B1,7.635837093,0,109.982738,0,0,0,117.6185751,
"4,206",52,R3,25.34280719,0,83.7136103,0,0,0,109.0564175,
"3,005",52,R1,46.43061652,0,80.39210275,0,0,0,126.8227193,
"9,128",52,R2,48.22657629,0,253.894287,0,0,0,302.1208633,
386,53,B2,27.88351966,0,79.79119211,0,0,0,107.6747118,
"2,046",53,B3,0,0,229.2088079,0,0,0,229.2088079,
"5,549",53,R3,61.97539233,0,262.2568711,0,0,0,324.2322634,
818,53,R1,17.95804231,0,17.39997198,10,0,0,45.35801429,
"1,807",53,B1,18.11648034,0,0,0,0,0,18.11648034,
